affected_entity_1_rel	affected_entity_1_sub	affected_entity_1_super	affected_entity_2_rel	affected_entity_2_sub	affected_entity_2_super	id	iri	pato_id	pattern
		ZFA:0000152				0-0-ZFA:0000152-PATO:0000051-0-0-0	ZP:0000048	PATO:0000051	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000292				0-0-ZFA:0000292-PATO:0000001-0-0-0	ZP:0000049	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000445				0-0-ZFA:0000445-PATO:0000587-0-0-0	ZP:0000050	PATO:0000587	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000445				0-0-ZFA:0000445-PATO:0000937-0-0-0	ZP:0000051	PATO:0000937	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000570				0-0-ZFA:0000570-PATO:0000051-0-0-0	ZP:0000052	PATO:0000051	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
BFO:0000050	ZFA:0005198	ZFA:0001032				ZFA:0005198-BFO:0000050-ZFA:0001032-PATO:0000628-0-0-0	ZP:0000053	PATO:0000628	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityPartOfThing.yaml
		ZFA:0001114				0-0-ZFA:0001114-PATO:0000587-0-0-0	ZP:0000054	PATO:0000587	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001161				0-0-ZFA:0001161-PATO:0000001-0-0-0	ZP:0000055	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001161				0-0-ZFA:0001161-PATO:0001483-0-0-0	ZP:0000056	PATO:0001483	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001205				0-0-ZFA:0001205-PATO:0000587-0-0-0	ZP:0000057	PATO:0000587	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
