affected_entity_1_sub	affected_entity_1_super	affected_entity_2_super	defined_class	pato_id
GO:0036379	ZFA:0005784	ZFA:0001089	ZP:0012207	PATO:0001453
GO:0030016	ZFA:0009115	ZFA:0009115	ZP:0012247	PATO:0000133
BSPO:0000072	ZFA:0001115	ZFA:0000243	ZP:0012275	PATO:0002001
BSPO:0000082	ZFA:0000029	ZFA:0009248	ZP:0012278	PATO:0002002
ZFA:0009043	ZFA:0005249	ZFA:0009327	ZP:0012316	PATO:0002001
BSPO:0000072	ZFA:0001115	ZFA:0000243	ZP:0012319	PATO:0002000
ZFA:0001119	ZFA:0001115	ZFA:0009199	ZP:0012366	PATO:0002001
BSPO:0000056	ZFA:0000032	ZFA:0009301	ZP:0012378	PATO:0002001
BSPO:0000083	ZFA:0000059	ZFA:0009147	ZP:0012511	PATO:0002001
BSPO:0000083	ZFA:0001108	ZFA:0009147	ZP:0012516	PATO:0002001
BSPO:0000072	ZFA:0000075	ZFA:0009244	ZP:0012527	PATO:0002000
GO:0016020	ZFA:0005309	ZFA:0005313	ZP:0012536	PATO:0001453
ZFA:0001119	ZFA:0001115	ZFA:0009091	ZP:0012569	PATO:0002000
GO:0005764	ZFA:0009000	ZFA:0001185	ZP:0012698	PATO:0002270
GO:0005768	ZFA:0009000	ZFA:0001185	ZP:0012699	PATO:0002270
GO:0031982	ZFA:0009000	ZFA:0001185	ZP:0012700	PATO:0002270
ZFA:0005565	ZFA:0000558	ZFA:0000676	ZP:0012717	PATO:0001505
GO:0030016	ZFA:0001056	ZFA:0001089	ZP:0013088	PATO:0001667
BSPO:0000079	ZFA:0000075	ZFA:0009248	ZP:0013107	PATO:0001555
ZFA:0001463	ZFA:0001115	ZFA:0009091	ZP:0013451	PATO:0001905
BSPO:0000082	ZFA:0000032	ZFA:0009100	ZP:0014437	PATO:0001905
BSPO:0000083	ZFA:0000059	ZFA:0009147	ZP:0014503	PATO:0001905
BSPO:0000083	ZFA:0001108	ZFA:0009147	ZP:0014504	PATO:0001905
BSPO:0000083	ZFA:0001108	ZFA:0009147	ZP:0014505	PATO:0002000
ZFA:0005147	ZFA:0000277	ZFA:0000277	ZP:0014585	PATO:0000642
BSPO:0000063	ZFA:0000075	ZFA:0009076	ZP:0014884	PATO:0002001
ZFA:0009076	ZFA:0000075	ZFA:0005266	ZP:0014887	PATO:0002259
ZFA:0001596	ZFA:0001550	ZFA:0001550	ZP:0015145	PATO:0001852
BSPO:0000072	ZFA:0001094	ZFA:0005145	ZP:0015359	PATO:0002001
BSPO:0000072	ZFA:0000140	ZFA:0009096	ZP:0015415	PATO:0001905
