affected_entity_1_super	defined_class	pato_id	quality
ZFA:0000250	ZP:0000267	PATO:0000599	
ZFA:0000692	ZP:0000268	PATO:0000587	
ZFA:0001205	ZP:0000269	PATO:0000051	
ZFA:0001399	ZP:0000270	PATO:0000936	
ZFA:0001422	ZP:0000271	PATO:0001154	
ZFA:0001422	ZP:0000272	PATO:0001617	
ZFA:0005110	ZP:0000273	PATO:0000462	
ZFA:0005110	ZP:0000274	PATO:0001442	
GO:0014003	ZP:0000276	PATO:0000297	
GO:0021654	ZP:0000277	PATO:0001507	
GO:0022015	ZP:0000279	PATO:0002051	
GO:0039014	ZP:0000280	PATO:0001507	
ZFA:0000012	ZP:0000282	PATO:0001396	
ZFA:0000132	ZP:0000290	PATO:0000051	
ZFA:0000151	ZP:0000291	PATO:0001396	
ZFA:0005304	ZP:0000297	PATO:0001444	
ZFA:0005304	ZP:0000298	PATO:0001714	
ZFA:0005304	ZP:0000299	PATO:0002105	
ZFA:0005304	ZP:0000300	PATO:0002181	
ZFA:0009063	ZP:0000301	PATO:0000574	
GO:0001756	ZP:0000302	PATO:0001624	
GO:0007049	ZP:0000303	PATO:0000297	
GO:0008283	ZP:0000304	PATO:0002052	
GO:0009790	ZP:0000305	PATO:0000297	
ZFA:0001094	ZP:0000306	PATO:0001422	
ZFA:0001477	ZP:0000308	PATO:0000647	
ZFA:0009090	ZP:0000309	PATO:0001997	
GO:0000387	ZP:0000310	PATO:0002302	
GO:0006915	ZP:0000311	PATO:0002051	
GO:0030576	ZP:0000312	PATO:0002302	
GO:0045292	ZP:0000313	PATO:0002052	
GO:0014032	ZP:0000318	PATO:0001507	
ZFA:0000008	ZP:0000319	PATO:0001853	
ZFA:0000029	ZP:0000320	PATO:0001853	
ZFA:0000110	ZP:0000321	PATO:0000586	
ZFA:0000128	ZP:0000322	PATO:0001853	
ZFA:0000159	ZP:0000323	PATO:0000586	
ZFA:0001094	ZP:0000324	PATO:0000587	
ZFA:0005178	ZP:0000327	PATO:0000470	
ZFA:0009091	ZP:0000328	PATO:0000060	
ZFA:0009091	ZP:0000329	PATO:0001997	
ZFA:0009165	ZP:0000330	PATO:0001997	
ZFA:0009248	ZP:0000331	PATO:0000470	
GO:0003007	ZP:0000332	PATO:0001507	
GO:0007368	ZP:0000333	PATO:0001507	
GO:0007507	ZP:0000334	PATO:0000502	
GO:0008015	ZP:0000335	PATO:0001507	
GO:0021794	ZP:0000337	PATO:0002302	
GO:0021881	ZP:0000338	PATO:0001507	
GO:0030900	ZP:0000339	PATO:0001507	
GO:0048048	ZP:0000340	PATO:0001507	
GO:0050673	ZP:0000341	PATO:0002051	
GO:0060070	ZP:0000342	PATO:0002051	
GO:0061381	ZP:0000343	PATO:0000502	
ZFA:0000019	ZP:0000344	PATO:0000586	
ZFA:0000047	ZP:0000348	PATO:0000462	
ZFA:0000048	ZP:0000349	PATO:0001483	
ZFA:0000050	ZP:0000350	PATO:0000462	
ZFA:0000059	ZP:0000351	PATO:0001483	
ZFA:0000079	ZP:0000353	PATO:0000587	
ZFA:0000079	ZP:0000354	PATO:0001483	
ZFA:0000107	ZP:0000356	PATO:0000462	
ZFA:0000107	ZP:0000357	PATO:0001483	
ZFA:0000109	ZP:0000359	PATO:0000587	
ZFA:0000114	ZP:0000360	PATO:0001199	
ZFA:0000149	ZP:0000363	PATO:0001199	
ZFA:0000162	ZP:0000364	PATO:0000586	
ZFA:0000571	ZP:0000366	PATO:0001483	
ZFA:0000574	ZP:0000367	PATO:0000586	
ZFA:0000653	ZP:0000368	PATO:0001396	
ZFA:0001108	ZP:0000373	PATO:0001483	
ZFA:0001114	ZP:0000374	PATO:0000638	
ZFA:0001114	ZP:0000375	PATO:0000639	
ZFA:0001282	ZP:0000376	PATO:0000587	
ZFA:0001317	ZP:0000377	PATO:0000644	
ZFA:0001318	ZP:0000378	PATO:0000595	
ZFA:0001338	ZP:0000379	PATO:0000051	
ZFA:0001338	ZP:0000380	PATO:0000591	
ZFA:0001360	ZP:0000381	PATO:0000140	
ZFA:0005126	ZP:0000383	PATO:0000591	
ZFA:0005126	ZP:0000384	PATO:0000937	
ZFA:0005126	ZP:0000385	PATO:0001396	
ZFA:0005757	ZP:0000386	PATO:0000591	
ZFA:0005757	ZP:0000387	PATO:0001396	
ZFA:0007001	ZP:0000388	PATO:0000462	
ZFA:0009399	ZP:0000389	PATO:0002102	
GO:0001944	ZP:0000390	PATO:0001507	
ZFA:0000076	ZP:0000392	PATO:0000051	
ZFA:0000254	ZP:0000394	PATO:0001241	
ZFA:0001306	ZP:0000395	PATO:0001241	
ZFA:0009256	ZP:0000396	PATO:0001997	
ZFA:0000012	ZP:0000397	PATO:0000647	
ZFA:0001094	ZP:0000398	PATO:0000647	
ZFA:0001114	ZP:0000399	PATO:0000407	
ZFA:0000107	ZP:0000401	PATO:0000639	
ZFA:0000107	ZP:0000402	PATO:0002251	
ZFA:0000112	ZP:0000403	PATO:0000645	
ZFA:0000123	ZP:0000404	PATO:0000645	
ZFA:0000144	ZP:0000405	PATO:0000639	
ZFA:0001114	ZP:0000407	PATO:0000599	
GO:0006919	ZP:0000408	PATO:0002051	
GO:0040011	ZP:0000409	PATO:0002302	
ZFA:0000054	ZP:0000410	PATO:0001851	
ZFA:0000076	ZP:0000411	PATO:0001483	
ZFA:0000435	ZP:0000412	PATO:0001483	
ZFA:0001261	ZP:0000413	PATO:0000586	
ZFA:0001273	ZP:0000414	PATO:0000646	
GO:0002088	ZP:0000415	PATO:0001507	
GO:0003157	ZP:0000416	PATO:0001507	
GO:0010842	ZP:0000417	PATO:0001507	
GO:0070307	ZP:0000418	PATO:0001507	
GO:0070309	ZP:0000419	PATO:0001507	
ZFA:0000035	ZP:0000420	PATO:0000051	
ZFA:0000035	ZP:0000421	PATO:0000141	
ZFA:0000110	ZP:0000425	PATO:0000587	
ZFA:0000114	ZP:0000426	PATO:0000470	
ZFA:0000114	ZP:0000427	PATO:0001784	
ZFA:0000128	ZP:0000429	PATO:0000051	
ZFA:0000155	ZP:0000430	PATO:0000639	
ZFA:0001056	ZP:0000431	PATO:0000586	
ZFA:0001056	ZP:0000432	PATO:0001930	
ZFA:0001261	ZP:0000437	PATO:0001478	
ZFA:0001462	ZP:0000438	PATO:0000052	
ZFA:0001462	ZP:0000439	PATO:0001483	
ZFA:0001683	ZP:0000440	PATO:0000051	
ZFA:0001683	ZP:0000441	PATO:0000967	
GO:0008219	ZP:0000442	PATO:0002051	
ZFA:0000295	ZP:0000443	PATO:0000646	
ZFA:0001306	ZP:0000444	PATO:0000646	
ZFA:0001516	ZP:0000445	PATO:0000585	
ZFA:0001555	ZP:0000446	PATO:0000646	
ZFA:0001611	ZP:0000447	PATO:0000051	
ZFA:0001612	ZP:0000448	PATO:0000051	
GO:0001568	ZP:0000449	PATO:0001507	
GO:0008015	ZP:0000450	PATO:0000297	
GO:0030097	ZP:0000451	PATO:0001507	
GO:0060047	ZP:0000452	PATO:0000078	
ZFA:0000360	ZP:0000454	PATO:0000051	
