affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
ZFA:0000944	ZFA:0001725	ZFA:0000944	ZP:0104234	PATO:0001905
ZFA:0000007	ZFA:0005249	ZFA:0001269	ZP:0104266	PATO:0002269
ZFA:0005674	GO:0043005	ZFA:0009125	ZP:0104333	PATO:0002001
ZFA:0005673	GO:0043005	ZFA:0009125	ZP:0104335	PATO:0002001
ZFA:0005715	GO:0043005	ZFA:0009125	ZP:0104336	PATO:0002002
ZFA:0009044	BSPO:0000070	ZFA:0001058	ZP:0104369	PATO:0002269
ZFA:0000075	BSPO:0000039	ZFA:0005240	ZP:0104599	PATO:0001905
ZFA:0000075	BSPO:0000083	ZFA:0005240	ZP:0104600	PATO:0002000
ZFA:0000075	BSPO:0000112	ZFA:0005240	ZP:0104601	PATO:0002000
ZFA:0000075	BSPO:0000039	ZFA:0005240	ZP:0104606	PATO:0002001
ZFA:0009256	BSPO:0000072	ZFA:0000033	ZP:0104610	PATO:0002270
ZFA:0009115	GO:0098723	ZFA:0009115	ZP:0104646	PATO:0002001
ZFA:0000029	GO:0060077	ZFA:0000029	ZP:0104693	PATO:0002001
ZFA:0000075	GO:0060077	ZFA:0000075	ZP:0104694	PATO:0002001
ZFA:0000079	GO:0060077	ZFA:0000079	ZP:0104695	PATO:0002001
ZFA:0000445	GO:0060077	ZFA:0000445	ZP:0104697	PATO:0002001
ZFA:0000075	BSPO:0000039	ZFA:0005240	ZP:0104738	PATO:0002000
ZFA:0000944	GO:0043209	ZFA:0009135	ZP:0106110	PATO:0001905
ZFA:0005746	GO:0005773	ZFA:0005746	ZP:0106233	PATO:0002001
ZFA:0001570	GO:0070825	ZFA:0001570	ZP:0106308	PATO:0002000
ZFA:0005007	ZFA:0009036	ZFA:0005007	ZP:0106366	PATO:0002001
ZFA:0005008	ZFA:0009036	ZFA:0005008	ZP:0106367	PATO:0002001
ZFA:0005009	ZFA:0005257	ZFA:0005009	ZP:0106368	PATO:0002000
ZFA:0005016	ZFA:0009036	ZFA:0005016	ZP:0106369	PATO:0002001
ZFA:0009288	GO:0005815	ZFA:0009288	ZP:0106466	PATO:0002002
ZFA:0001374	GO:0030017	ZFA:0001374	ZP:0106704	PATO:0002001
ZFA:0005061	GO:0030017	ZFA:0005061	ZP:0106705	PATO:0002001
ZFA:0001109	GO:0016234	ZFA:0001109	ZP:0106750	PATO:0002002
ZFA:0000320	GO:0030424	ZFA:0000320	ZP:0106752	PATO:0002001
ZFA:0001657	GO:0030424	ZFA:0001657	ZP:0106754	PATO:0002001
ZFA:0000324	ZFA:0009361	ZFA:0000324	ZP:0106867	PATO:0002001
ZFA:0000475	ZFA:0009361	ZFA:0000475	ZP:0106868	PATO:0002001
ZFA:0000324	ZFA:0009361	ZFA:0000324	ZP:0106873	PATO:0001905
ZFA:0000475	ZFA:0009361	ZFA:0000475	ZP:0106874	PATO:0001905
ZFA:0001558	GO:0005776	ZFA:0001558	ZP:0106898	PATO:0002002
ZFA:0000082	ZFA:0001057	ZFA:0001058	ZP:0106974	PATO:0001646
ZFA:0000082	ZFA:0005035	ZFA:0001058	ZP:0106975	PATO:0001646
ZFA:0009316	GO:0055037	ZFA:0009316	ZP:0107216	PATO:0002002
ZFA:0000009	ZFA:0009316	ZFA:0000009	ZP:0107231	PATO:0001905
ZFA:0001558	ZFA:0005242	ZFA:0001558	ZP:0107289	PATO:0002001
ZFA:0001558	ZFA:0005242	ZFA:0001558	ZP:0110346	PATO:0001905
ZFA:0009077	GO:0005770	ZFA:0009077	ZP:0130693	PATO:0001905
ZFA:0009091	BSPO:0000037	ZFA:0000051	ZP:0130719	PATO:0002269
ZFA:0009091	BSPO:0000682	ZFA:0001306	ZP:0130720	PATO:0002269
ZFA:0001315	ZFA:0009000	ZFA:0001320	ZP:0130766	PATO:0002001
ZFA:0009077	BSPO:0000071	ZFA:0000445	ZP:0130806	PATO:0002269
ZFA:0000940	GO:0032421	ZFA:0009367	ZP:0130813	PATO:0001905
ZFA:0000243	GO:0032421	ZFA:0009367	ZP:0130961	PATO:0001905
ZFA:0000243	GO:0032421	ZFA:0009367	ZP:0130962	PATO:0002001
ZFA:0009077	GO:0005770	ZFA:0009077	ZP:0130979	PATO:0002002
ZFA:0000445	ZFA:0009077	ZFA:0000445	ZP:0130989	PATO:0001905
ZFA:0009077	GO:0005773	ZFA:0009077	ZP:0130990	PATO:0002002
ZFA:0009077	GO:0045335	ZFA:0009077	ZP:0131117	PATO:0002002
ZFA:0009076	GO:0030424	ZFA:0009052	ZP:0137280	PATO:0002168
ZFA:0000155	GO:0005634	ZFA:0009117	ZP:0137567	PATO:0001905
ZFA:0001056	GO:0005634	ZFA:0009117	ZP:0137569	PATO:0001905
ZFA:0000445	GO:0030424	ZFA:0009310	ZP:0138070	PATO:0002001
ZFA:0009316	GO:0005776	ZFA:0009316	ZP:0138140	PATO:0002002
ZFA:0000558	GO:0005739	ZFA:0000281	ZP:0138539	PATO:0002001
ZFA:0000075	GO:0030424	ZFA:0000075	ZP:0138597	PATO:0001905
ZFA:0001094	ZFA:0009114	ZFA:0005926	ZP:0138644	PATO:0001999
ZFA:0001330	GO:0098684	ZFA:0009154	ZP:0138659	PATO:0001905
