defined_class	anatomical_entity
ZP:0107500	http://purl.obolibrary.org/obo/ZFA_0007093
ZP:0107501	http://purl.obolibrary.org/obo/ZFA_0009136
ZP:0107502	http://purl.obolibrary.org/obo/ZFA_0000036
ZP:0107503	http://purl.obolibrary.org/obo/ZFA_0000594
ZP:0107504	http://purl.obolibrary.org/obo/ZFA_0001590
ZP:0107505	http://purl.obolibrary.org/obo/ZFA_0000948
ZP:0107506	http://purl.obolibrary.org/obo/ZFA_0009038
ZP:0107507	http://purl.obolibrary.org/obo/ZFA_0009385
ZP:0107508	http://purl.obolibrary.org/obo/ZFA_0009080
ZP:0107509	http://purl.obolibrary.org/obo/ZFA_0009386
ZP:0107510	http://purl.obolibrary.org/obo/ZFA_0000094
ZP:0107511	http://purl.obolibrary.org/obo/ZFA_0001122
ZP:0107512	http://purl.obolibrary.org/obo/ZFA_0000121
ZP:0107513	http://purl.obolibrary.org/obo/ZFA_0001402
ZP:0107514	http://purl.obolibrary.org/obo/ZFA_0005606
ZP:0107515	http://purl.obolibrary.org/obo/ZFA_0000351
ZP:0107516	http://purl.obolibrary.org/obo/ZFA_0005420
ZP:0107517	http://purl.obolibrary.org/obo/ZFA_0001503
ZP:0107518	http://purl.obolibrary.org/obo/ZFA_0001424
ZP:0107519	http://purl.obolibrary.org/obo/ZFA_0005732
ZP:0107520	http://purl.obolibrary.org/obo/ZFA_0005730
ZP:0107521	http://purl.obolibrary.org/obo/ZFA_0000044
ZP:0107522	http://purl.obolibrary.org/obo/ZFA_0005412
ZP:0107523	http://purl.obolibrary.org/obo/ZFA_0001269
ZP:0107524	http://purl.obolibrary.org/obo/ZFA_0000108
ZP:0107525	http://purl.obolibrary.org/obo/ZFA_0001675
ZP:0107526	http://purl.obolibrary.org/obo/ZFA_0001188
ZP:0107527	http://purl.obolibrary.org/obo/ZFA_0001632
ZP:0107528	http://purl.obolibrary.org/obo/ZFA_0000863
ZP:0107529	http://purl.obolibrary.org/obo/ZFA_0001635
ZP:0107530	http://purl.obolibrary.org/obo/ZFA_0000189
ZP:0107531	http://purl.obolibrary.org/obo/ZFA_0005609
ZP:0107532	http://purl.obolibrary.org/obo/ZFA_0005891
ZP:0107533	http://purl.obolibrary.org/obo/ZFA_0005608
ZP:0107534	http://purl.obolibrary.org/obo/ZFA_0005607
ZP:0107535	http://purl.obolibrary.org/obo/ZFA_0001176
ZP:0107536	http://purl.obolibrary.org/obo/ZFA_0001154
ZP:0107537	http://purl.obolibrary.org/obo/ZFA_0005158
ZP:0107538	http://purl.obolibrary.org/obo/ZFA_0000447
ZP:0107539	http://purl.obolibrary.org/obo/ZFA_0000983
ZP:0107540	http://purl.obolibrary.org/obo/ZFA_0005173
ZP:0107541	http://purl.obolibrary.org/obo/ZFA_0009366
ZP:0107542	http://purl.obolibrary.org/obo/ZFA_0009120
ZP:0107543	http://purl.obolibrary.org/obo/ZFA_0009115
ZP:0107544	http://purl.obolibrary.org/obo/ZFA_0000932
ZP:0107545	http://purl.obolibrary.org/obo/ZFA_0001282
ZP:0107546	http://purl.obolibrary.org/obo/ZFA_0000310
ZP:0107547	http://purl.obolibrary.org/obo/ZFA_0000949
ZP:0107548	http://purl.obolibrary.org/obo/ZFA_0001411
ZP:0107549	http://purl.obolibrary.org/obo/ZFA_0000012
ZP:0107550	http://purl.obolibrary.org/obo/ZFA_0005837
ZP:0107551	http://purl.obolibrary.org/obo/ZFA_0005844
ZP:0107552	http://purl.obolibrary.org/obo/ZFA_0009278
ZP:0107553	http://purl.obolibrary.org/obo/ZFA_0009250
