defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id	affected_entity_2_super
ZP:0100267	BSPO:0000077	ZFA:0001558	PATO:0002001	ZFA:0009000
ZP:0100268	BSPO:0000077	ZFA:0001558	PATO:0002002	ZFA:0009000
ZP:0100351	BSPO:0000077	ZFA:0001558	PATO:0001555	ZFA:0009000
ZP:0100536	ZFA:0009052	ZFA:0000206	PATO:0002168	ZFA:0001032
ZP:0100538	ZFA:0009052	ZFA:0000206	PATO:0002168	ZFA:0000823
ZP:0100611	BSPO:0000070	ZFA:0001338	PATO:0002002	ZFA:0009327
ZP:0100649	BSPO:0000070	ZFA:0000114	PATO:0002002	ZFA:0005145
ZP:0100817	ZFA:0000123	ZFA:0000242	PATO:0002002	ZFA:0009082
ZP:0101124	BSPO:0000072	ZFA:0005023	PATO:0002002	ZFA:0009354
ZP:0101429	BSPO:0000070	ZFA:0000150	PATO:0001555	ZFA:0009309
ZP:0101430	BSPO:0000070	ZFA:0000150	PATO:0002002	ZFA:0009309
ZP:0101507	ZFA:0001058	ZFA:0001269	PATO:0001905	ZFA:0009036
ZP:0101543	BSPO:0000070	ZFA:0001076	PATO:0002000	ZFA:0009165
ZP:0101545	BSPO:0000070	ZFA:0000112	PATO:0002001	ZFA:0009165
ZP:0101590	BSPO:0000070	ZFA:0000075	PATO:0002001	ZFA:0005604
ZP:0101624	ZFA:0005844	ZFA:0000128	PATO:0002001	ZFA:0009065
ZP:0101798	BSPO:0000030	ZFA:0000075	PATO:0002001	ZFA:0009076
ZP:0101799	BSPO:0000035	ZFA:0000075	PATO:0002001	ZFA:0009076
ZP:0101800	BSPO:0000072	ZFA:0000075	PATO:0002001	ZFA:0009076
ZP:0101909	BSPO:0000078	ZFA:0001338	PATO:0002000	ZFA:0005775
ZP:0101973	BSPO:0000078	ZFA:0001338	PATO:0001905	ZFA:0005775
ZP:0102138	MPATH:218	ZFA:0001094	PATO:0002000	ZFA:0005604
ZP:0102177	MPATH:218	ZFA:0001094	PATO:0001999	ZFA:0005314
ZP:0102178	MPATH:218	ZFA:0001094	PATO:0002001	ZFA:0005314
ZP:0102184	ZFA:0009043	ZFA:0000014	PATO:0002002	ZFA:0009327
ZP:0102243	BSPO:0000071	ZFA:0001094	PATO:0002002	ZFA:0009354
ZP:0102244	BSPO:0000072	ZFA:0001094	PATO:0002001	ZFA:0009354
ZP:0102248	BSPO:0000072	ZFA:0005023	PATO:0001555	ZFA:0009354
ZP:0102399	BSPO:0000070	ZFA:0005025	PATO:0002001	ZFA:0009141
ZP:0102402	BSPO:0000070	ZFA:0005028	PATO:0002002	ZFA:0009141
ZP:0102408	ZFA:0005604	ZFA:0005025	PATO:0001738	ZFA:0009141
ZP:0102451	ZFA:0009036	ZFA:0000008	PATO:0001505	ZFA:0009036
ZP:0103285	ZFA:0005604	ZFA:0005053	PATO:0001505	ZFA:0005030
ZP:0103569	BSPO:0000127	ZFA:0000152	PATO:0002000	ZFA:0009262
ZP:0103570	BSPO:0000127	ZFA:0000152	PATO:0002000	ZFA:0009275
ZP:0103640	BSPO:0000079	ZFA:0001094	PATO:0001555	ZFA:0009091
ZP:0104042	ZFA:0000403	ZFA:0000303	PATO:0001905	ZFA:0001565
ZP:0104044	ZFA:0000403	ZFA:0000303	PATO:0002001	ZFA:0001566
ZP:0104045	ZFA:0000403	ZFA:0000303	PATO:0002002	ZFA:0001567
ZP:0104060	ZFA:0000403	ZFA:0000303	PATO:0002000	ZFA:0001566
ZP:0104332	GO:0043005	ZFA:0009125	PATO:0002168	ZFA:0005673
ZP:0104334	GO:0043005	ZFA:0009125	PATO:0002168	ZFA:0005674
