defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id
http://purl.obolibrary.org/obo/ZP_0125222	GO:0035118	ZFA:0000085	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125223	GO:0035118	ZFA:0005316	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125224	GO:0019228	ZFA:0000445	PATO:0000044
http://purl.obolibrary.org/obo/ZP_0125225	GO:0019228	ZFA:0000445	PATO:0000078
http://purl.obolibrary.org/obo/ZP_0125226	GO:0034605	ZFA:0000445	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125227	GO:0098908	ZFA:0000445	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125228	GO:0048668	ZFA:0009244	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125229	GO:0043473	ZFA:0000107	PATO:0000462
http://purl.obolibrary.org/obo/ZP_0125230	GO:0031102	ZFA:0000219	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125231	GO:0008283	ZFA:0001185	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125232	GO:0008283	ZFA:0001180	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125233	GO:0006915	ZFA:0009041	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125234	GO:0006915	ZFA:0000029	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125235	GO:0008219	ZFA:0009324	PATO:0002304
http://purl.obolibrary.org/obo/ZP_0125236	GO:0008219	ZFA:0000094	PATO:0002304
http://purl.obolibrary.org/obo/ZP_0125237	GO:0042552	ZFA:0000075	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125238	GO:0035282	ZFA:0001117	PATO:0000297
http://purl.obolibrary.org/obo/ZP_0125239	GO:0048813	ZFA:0009149	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125240	GO:0030282	ZFA:0001189	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125241	GO:0006915	ZFA:0000050	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125242	GO:0003002	ZFA:0000050	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125243	GO:0030282	ZFA:0000578	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125244	GO:0030282	ZFA:0000250	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125245	GO:0030282	ZFA:0000126	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125246	GO:0045214	ZFA:0009316	PATO:0001507
http://purl.obolibrary.org/obo/ZP_0125247	GO:0060271	ZFA:0009154	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125248	GO:0006915	ZFA:0007091	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125249	GO:0006915	ZFA:0000737	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125250	GO:0006915	ZFA:0000143	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125251	GO:0097084	ZFA:0000014	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125252	GO:0006915	ZFA:0001464	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125253	GO:0008283	ZFA:0009316	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125254	GO:0048665	ZFA:0001360	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125255	GO:1905139	ZFA:0001384	PATO:0000297
http://purl.obolibrary.org/obo/ZP_0125256	GO:0000087	ZFA:0000152	PATO:0000498
http://purl.obolibrary.org/obo/ZP_0125257	GO:0090601	ZFA:0000035	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125258	GO:0072554	ZFA:0005008	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125259	GO:0031103	ZFA:0001691	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125260	GO:0008219	ZFA:0000119	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125261	GO:0008219	ZFA:0000143	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125262	GO:0000723	ZFA:0000598	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125263	GO:0001837	ZFA:0005147	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125264	GO:0030509	ZFA:0000115	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125265	GO:0006915	ZFA:0001679	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125266	GO:0008283	ZFA:0001464	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125267	GO:0006915	ZFA:0001202	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125268	GO:0008283	ZFA:0000152	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125269	GO:0008283	ZFA:0000119	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125270	GO:0006915	ZFA:0000035	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125271	GO:0006915	ZFA:0000008	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125272	GO:0071679	ZFA:0005877	PATO:0002304
http://purl.obolibrary.org/obo/ZP_0125273	GO:0055005	ZFA:0005062	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125274	GO:0008283	ZFA:0009033	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125275	GO:0008283	ZFA:0009280	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125276	GO:0001525	ZFA:0005024	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125277	GO:0022011	ZFA:0000175	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125278	GO:0035462	ZFA:0000213	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125279	GO:0001568	ZFA:0000477	PATO:0001236
