defined_class	affected_entity_1_super	pato_id	affected_entity_2_super
ZP:0104898	ZFA:0009316	PATO:0001646	ZFA:0005062
ZP:0104939	ZFA:0000079	PATO:0002001	ZFA:0009301
ZP:0104940	ZFA:0000402	PATO:0002001	ZFA:0009301
ZP:0104941	ZFA:0000470	PATO:0002001	ZFA:0009301
ZP:0104976	ZFA:0001266	PATO:0002002	ZFA:0005239
ZP:0105112	ZFA:0000940	PATO:0002001	ZFA:0009366
ZP:0105122	ZFA:0000012	PATO:0001905	ZFA:0009076
ZP:0105125	ZFA:0001157	PATO:0002001	ZFA:0009000
ZP:0105126	ZFA:0001094	PATO:0002001	ZFA:0000940
ZP:0105143	ZFA:0000303	PATO:0002001	ZFA:0001109
ZP:0105145	ZFA:0000403	PATO:0002000	ZFA:0001109
ZP:0105146	ZFA:0000403	PATO:0002001	ZFA:0001109
ZP:0105148	ZFA:0000598	PATO:0002001	ZFA:0009006
ZP:0105149	ZFA:0000598	PATO:0002002	ZFA:0009133
ZP:0105180	ZFA:0001115	PATO:0002000	ZFA:0009199
ZP:0105181	ZFA:0001058	PATO:0002000	ZFA:0009199
ZP:0105184	ZFA:0000938	PATO:0002000	ZFA:0005906
ZP:0105185	ZFA:0001261	PATO:0002000	ZFA:0005906
ZP:0105188	ZFA:0000161	PATO:0002000	ZFA:0005906
ZP:0105208	ZFA:0000077	PATO:0002000	ZFA:0000001
ZP:0105247	GO:1903927	PATO:0001457	GO:1903927
ZP:0105248	ZFA:0000329	PATO:0001667	ZFA:0005772
ZP:0105259	ZFA:0001400	PATO:0000374	ZFA:0001205
ZP:0105260	ZFA:0001400	PATO:0002326	ZFA:0001399
ZP:0105261	ZFA:0001400	PATO:0002326	ZFA:0001400
ZP:0105262	ZFA:0001400	PATO:0002327	ZFA:0001399
ZP:0105268	ZFA:0000519	PATO:0000651	ZFA:0000519
ZP:0105271	ZFA:0001066	PATO:0000651	ZFA:0001066
ZP:0105272	ZFA:0001190	PATO:0000642	ZFA:0001190
ZP:0105278	ZFA:0001265	PATO:0002000	ZFA:0005239
ZP:0105279	ZFA:0001266	PATO:0002000	ZFA:0005239
ZP:0105298	ZFA:0000035	PATO:0002168	ZFA:0000152
ZP:0105406	ZFA:0000100	PATO:0002001	ZFA:0001691
ZP:0105407	ZFA:0000100	PATO:0002001	ZFA:0009071
ZP:0105456	ZFA:0001094	PATO:0002000	ZFA:0000170
ZP:0105457	ZFA:0001094	PATO:0002000	ZFA:0001510
ZP:0105458	ZFA:0001094	PATO:0002001	ZFA:0000694
ZP:0105459	ZFA:0001094	PATO:0002000	ZFA:0001142
ZP:0105460	ZFA:0001094	PATO:0002000	ZFA:0001143
ZP:0105461	ZFA:0001094	PATO:0002000	ZFA:0001145
ZP:0105462	ZFA:0001094	PATO:0002000	ZFA:0001321
ZP:0105465	ZFA:0001094	PATO:0002001	ZFA:0000250
ZP:0105480	ZFA:0000598	PATO:0001905	ZFA:0009007
ZP:0105600	ZFA:0009316	PATO:0002261	ZFA:0005062
